"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,236984,"Open Water",0,0,255,0,0,1,52704,0.2
"2",13,22150,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,4926,0
"3",14,145691,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,32401,0.1
"4",15,23876,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,5310,0
"5",16,24302,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,5405,0
"6",17,289549,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,64394,0.3
"7",22,151514,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,33696,0.1
"8",23,76482,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,17009,0.1
"9",24,24334,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,5412,0
"10",25,888989,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,197706,0.8
"11",31,1274868,"Barren",191,191,191,0.74902,0.74902,0.74902,283524,1.1
"12",32,256488,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,57042,0.2
"13",61,15,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,3,0
"14",63,9046,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,2012,0
"15",64,12266,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2728,0
"16",65,12200,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,2713,0
"17",68,2357,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,524,0
"18",100,6087557,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,1353840,5.5
"19",101,6227108,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,1384875,5.6
"20",102,4962837,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,1103708,4.4
"21",103,7098729,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,1578719,6.4
"22",104,5800014,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,1289892,5.2
"23",105,5545670,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,1233327,5
"24",106,4837886,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,1075920,4.3
"25",107,3844140,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,854916,3.4
"26",108,5353880,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,1190674,4.8
"27",109,3004430,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,668169,2.7
"28",110,2883772,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,641335,2.6
"29",111,2670289,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,593858,2.4
"30",112,2453628,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,545674,2.2
"31",113,2735121,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,608276,2.5
"32",114,2243531,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,498949,2
"33",115,1726220,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,383902,1.5
"34",116,1144634,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,254560,1
"35",117,862526,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,191821,0.8
"36",118,3423087,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,761276,3.1
"37",119,62922,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,13994,0.1
"38",120,25219,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,5609,0
"39",121,9433,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,2098,0
"40",122,1167,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,260,0
"41",123,707,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,157,0
"42",124,564,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,125,0
"43",125,2348,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,522,0
"44",138,562,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,125,0
"45",201,92590,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,20592,0.1
"46",202,2790067,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,620496,2.5
"47",203,5763300,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,1281727,5.2
"48",204,6130616,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,1363416,5.5
"49",205,4620626,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,1027602,4.1
"50",206,4845240,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,1077555,4.3
"51",207,2648559,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,589025,2.4
"52",208,3159474,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,702650,2.8
"53",209,2158698,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,480083,1.9
"54",210,639547,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,142232,0.6
"55",211,1451836,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,322881,1.3
"56",212,410080,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,91200,0.4
"57",213,117427,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,26115,0.1
"58",214,29206,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,6495,0
"59",215,28925,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,6433,0
"60",216,18767,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,4174,0
"61",217,13949,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,3102,0
"62",218,15403,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,3426,0
"63",219,12239,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,2722,0
"64",220,19322,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,4297,0
"65",221,12843,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,2856,0
"66",222,15306,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,3404,0
"67",223,12148,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,2702,0
"68",224,14606,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,3248,0
"69",225,9302,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,2069,0
"70",226,9517,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,2117,0
"71",227,6375,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1418,0
"72",228,7410,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,1648,0
"73",229,4111,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,914,0
"74",230,42203,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,9386,0
